Suburb,LGA
Abbotsford/Wareemba,Canada Bay
Alexandria,Sydney
Allawah,Georges River
Annandale/Leichhardt,Inner West
Arncliffe,Bayside
Artarmon,Willoughby
Ashbury,Canterbury-Bankstown
Ashfield,Inner West
Auburn,Cumberland
Avalon,Northern Beaches
Balgowlah,Northern Beaches
Balmain/Birchgrove,Northern Beaches
Balmoral,Northern Beaches
Banksia,Bayside
Bankstown,Canterbury-Bankstown
Bardwell Park,Bayside
Bardwell Valley,Bayside
Beaconsfield,Sydney
Belfield,Strathfield
Bellevue Hill,Woollahra
Belmore,Strathfield
Berala,Cumberland
Beverly Hills,Georges River
Beverly Park,Georges River
Bexley,Bayside
Bexley North,Bayside
Birchgrove,Inner West
Blakehurst,Georges River
Bondi,Waverley
Bondi Beach,Waverley
Bondi Junction,Waverley
Botany,Botany Bay
Breakfast Point/Cabarita,Canada Bay
Brighton-Le-Sands,Bayside
Bronte,Waverley
Burwood,Burwood
Cammeray,North Sydney
Camperdown,Inner West
Campsie,Canterbury-Bankstown
Canterbury,Canterbury-Bankstown
Castle Cove/Middle Cove,Willoughby
Castlecrag,Willoughby
Central Business District,Sydney
Chatswood,Willoughby
Chatswood West,Willoughby
Chifley,Randwick
Chinatown,Sydney
Chippendale,Sydney
Chiswick,Canada Bay
Clovelly,Randwick
Concord,Canada Bay
Condell Park,Canterbury-Bankstown
Connells Point/Kyle Bay,Georges River
Coogee,Randwick
Cremorne,North Sydney
Cronulla,Sutherland Shire
Crows Nest,North Sydney
Croydon,Inner West
Croydon Park,Inner West
Darling Point,Woollahra
Darlinghurst,Sydney
Darlington,Sydney
Double Bay,Woollahra
Dover Heights,Waverley
Drummoyne,Canada Bay
Dulwich Hill,Inner West
Earlwood,Canterbury-Bankstown
Eastlakes,Botany Bay
Edgecliff,Woollahra
Elizabeth Bay,Sydney
Elizabeth Bay/Rushcutters Bay,Sydney
Enfield/Burwood Heights,Burwood
Enmore,Inner West
Erskineville,Sydney
Fairlight,Northern Beaches
Five Dock,Canada Bay
Forest Lodge,Sydney
Gladesville,Ryde
Glebe,Sydney
Greenacre,Strathfield
Greenwich,Lane Cove
Haberfield,Inner West
Haymarket,Sydney
Hillsdale/Eastgardens,Botany Bay
Homebush,Strathfield
Hunters Hill,Hunters Hill
Hurlstone Park,Inner West
Hurstville,Georges River
Kensington,Randwick
Killarney Heights,Northern Beaches
Kingsford,Randwick
Kingsgrove,Bayside
Kirribilli/Milsons Point,North Sydney
Kogarah,Bayside
Kogarah Bay/Carss Park,Georges River
Lakemba,Canterbury-Bankstown
Lane Cove,Lane Cove
Lewisham,Inner West
Lidcombe,Cumberland
Lilyfield/Rozelle,Inner West
Little Bay,Randwick
Longueville,Lane Cove
Malabar,Randwick
Manly,Northern Beaches
Maroubra,Randwick
Marrickville,Inner West
Mascot,Botany Bay
Matraville,Randwick
Millers Point,Sydney
Mortdale,Georges River
Mosman,Mosman
Naremburn,Willoughby
Narwee,Georges River
Neutral Bay,North Sydney
Newport,Northern Beaches
Newtown,Inner West
Newtown/Enmore,Inner West
North Bondi,Waverley
North Strathfield/Concord West,Canada Bay
North Sydney,North Sydney
Northbridge,Willoughby
Oatley,Georges River
Paddington,Woollahra
Padstow,Canterbury-Bankstown
Padstow Heights,Canterbury-Bankstown
Pagewood,Botany Bay
Palm Beach,Northern Beaches
Peakhurst,Georges River
Penshurst,Georges River
Petersham,Inner West
Phillip Bay,Randwick
Point Piper,Woollahra
Potts Point,Sydney
Punchbowl,Canterbury-Bankstown
Putney,Ryde
Pyrmont,Sydney
Queens Park,Waverley
Ramsgate/Ramsgate Beach,Bayside
Randwick,Randwick
Redfern,Sydney
Regents Park,Canterbury-Bankstown
Revesby,Canterbury-Bankstown
Rhodes,Canada Bay
Richmond,Hawkesbury
Riverview,Lane Cove
Riverwood,Georges River
Rockdale,Rockdale
Rose Bay/Dover Heights,Woollahra
Rosebery,Botany Bay
Roselands,Canterbury-Bankstown
Russell Lea/Rodd Point,Canada Bay
Sans Souci,Bayside
Seaforth,Northern Beaches
Silverwater/Newington,Parramatta
South Coogee,Randwick
South Hurstville,Georges River
St Leonards,North Sydney
St Peters,Inner West
Stanmore,Inner West
Strathfield,Strathfield
Summer Hill,Inner West
Surry Hills,Sydney
Tamarama,Waverley
Tempe/Sydenham,Inner West
The Rocks,Sydney
Turrella,Bayside
Ultimo,Sydney
Vaucluse/Watsons Bay,Woollahra
Waterloo,Sydney
Waverly,Waverly
Wiley Park,Canterbury-Bankstown
Willoughby,Willoughby
Wolli Creek,Bayside
Wollstonecraft/Waverton,North Sydney
Woollahra,Woollahra
Woolloomooloo,Sydney
Zetland,Sydney
